Accession,Species,Bacteria or Archaea,Genome Length (nt),Coding Length (nt),Non-coding Length (nt),Total Genes,Coding Genes,Total COGs,COGs/coding genes,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,Y,Z
NC_009675,Anaeromyxobacter sp. Fw109-5,Bacteria,5277990,4709955,568035,4615,4454,3793,0.852,1,2,286,41,254,77,162,140,146,185,240,180,254,99,176,157,63,468,302,365,121,73,0,0,1
NC_023135,Leisingera methylohalidivorans DSM 14336,Bacteria,4650996,3998097,652899,4491,4268,3791,0.888,0,3,238,33,469,97,166,183,147,182,314,175,175,50,136,178,126,479,378,161,57,43,0,0,1
NZ_CP014476,Methylomonas denitrificans,Bacteria,5172098,4555019,617079,4724,4550,3789,0.833,1,1,234,48,196,61,133,166,82,165,208,270,284,136,175,227,68,400,350,353,147,84,0,0,0
NZ_CP012697,Microbacterium sp. No. 7,Bacteria,4827965,4290888,537077,4481,4304,3784,0.879,1,0,250,36,343,78,264,125,252,157,386,251,142,13,91,292,159,455,226,122,58,81,0,0,2
NZ_CP014784,Pseudomonas alcaligenes,Bacteria,4406305,3960744,445561,4069,3977,3782,0.951,1,3,201,37,380,63,111,158,172,186,267,134,203,132,156,179,104,447,375,309,111,53,0,0,0
NC_011879,Pseudarthrobacter chlorophenolicus A6,Bacteria,4980870,4407416,573454,4649,4472,3782,0.846,3,1,202,37,385,89,402,162,137,166,363,160,169,44,105,190,90,488,289,157,84,57,0,0,2
NC_008825,Methylibium petroleiphilum PM1,Bacteria,4643639,4194138,449501,4511,4358,3781,0.868,1,4,259,33,292,63,124,192,160,176,254,205,207,103,170,215,109,467,330,238,130,49,0,0,0
NC_008593,Clostridium novyi NT,Bacteria,2547720,2206650,341070,2381,2237,3774,1.687,0,1,257,46,284,86,311,154,83,186,361,255,199,64,97,199,52,511,316,170,62,80,0,0,0
NC_003143,Yersinia pestis CO92,Bacteria,4829855,3852405,977450, , ,3774,#VALUE!,1,0,182,36,313,77,326,149,86,177,248,348,208,147,136,217,71,339,371,125,172,43,2,0,0
NC_004347,Shewanella oneidensis MR-1,Bacteria,5131424,4195866,935558, , ,3773,#VALUE!,1,1,242,50,266,79,118,162,110,206,264,298,191,134,183,172,64,413,349,278,116,71,0,0,5
NC_019748,Stanieria cyanosphaera PCC 7437,Bacteria,5544990,4632122,912868,4958,4740,3769,0.795,0,1,174,63,232,71,172,166,81,173,221,247,266,70,153,196,109,490,394,361,74,55,0,0,0
NZ_CP009454,Pantoea rwandensis,Bacteria,4327607,3787080,540527,4047,3873,3769,0.973,1,0,191,39,401,89,352,153,106,190,301,160,220,88,128,231,62,428,326,170,89,44,0,0,0
NZ_LT603683,Bacillus glycinifermentans,Bacteria,4607442,4000751,606691,4695,4415,3769,0.854,0,1,183,40,336,92,308,139,109,178,355,282,192,66,117,192,92,435,361,172,50,69,0,0,0
NC_002944,Mycobacterium avium subsp. paratuberculosis K-10,Bacteria,4829781,4379612,450169,4457,4289,3767,0.878,2,1,297,28,235,70,178,176,389,151,289,164,132,34,97,181,343,538,275,123,27,37,0,0,0
NC_007802,Jannaschia sp. CCS1,Bacteria,4404049,3955757,448292,4344,4244,3765,0.887,0,3,224,29,420,92,324,151,167,183,276,126,176,43,130,178,135,515,367,139,54,31,0,0,2
NC_009483,Geobacter uraniireducens Rf4,Bacteria,5136364,4461729,674635,4490,4370,3762,0.861,1,2,313,53,205,70,122,159,100,175,219,213,294,150,138,149,68,436,332,361,125,73,0,0,4
NC_007298,Dechloromonas aromatica RCB,Bacteria,4501104,4089693,411411,4270,4156,3759,0.904,1,2,313,41,244,54,122,157,145,181,219,167,244,127,170,215,92,374,339,398,110,42,0,0,2
NC_017564,Yersinia enterocolitica subsp. palearctica Y11,Bacteria,4625880,3940946,684934,4368,4028,3757,0.933,1,0,215,43,346,86,301,164,77,184,282,217,217,128,152,226,67,388,308,157,144,53,1,0,0
NZ_CP013119,Alcaligenes faecalis,Bacteria,4248684,3740412,508272,3846,3753,3756,1.001,1,3,254,37,356,81,203,145,160,184,352,117,187,66,141,272,137,439,300,161,111,47,2,0,0
NC_009380,Salinispora tropica CNB-440,Bacteria,5183331,4513005,670326,4627,4477,3756,0.839,3,2,245,51,309,88,241,191,223,193,357,169,159,6,122,160,173,538,260,157,37,65,0,0,7
NC_020514,Paraglaciecola psychrophila 170,Bacteria,5413691,4467313,946378,4802,4393,3756,0.855,0,2,221,35,262,72,171,146,164,186,256,191,233,106,163,231,104,466,293,265,122,66,0,0,1
NC_015593,Sphingobium chlorophenolicum L-1,Bacteria,4573221,4033038,540183,4177,4038,3754,0.930,1,1,260,29,222,57,164,147,333,167,262,149,223,58,139,231,199,455,318,153,142,44,0,0,0
NZ_CP016210,Azoarcus olearius,Bacteria,4451751,4008202,443549,4071,3983,3748,0.941,1,2,312,41,282,63,144,171,153,176,239,124,233,122,160,192,96,422,344,312,108,51,0,0,0
NC_015914,Cyclobacterium marinum DSM 745,Bacteria,6221273,5399458,821815,5033,4942,3743,0.757,0,2,185,29,281,73,275,141,106,170,232,176,343,8,124,337,79,514,313,208,67,80,0,0,0
NC_009428,Rhodobacter sphaeroides ATCC 17025,Bacteria,4557127,4023722,533405,4474,4256,3737,0.878,0,4,252,42,349,73,234,149,137,172,223,302,178,90,132,214,91,428,347,199,77,44,0,0,0
NC_011891,Anaeromyxobacter dehalogenans 2CP-1,Bacteria,5029329,4552685,476644,4538,4443,3736,0.841,2,2,266,33,248,75,159,156,142,189,245,189,259,134,170,138,66,439,285,333,139,66,0,0,1
NC_021171,Bacillus sp. 1NLA3E,Bacteria,4815602,3912434,903168,4612,4407,3736,0.848,0,1,288,42,344,78,226,166,139,171,287,193,184,53,129,211,78,455,361,198,63,67,0,0,2
NZ_CP012801,Bacteroides cellulosilyticus,Bacteria,7084828,6399444,685384,5386,5206,3735,0.717,1,1,163,41,197,75,427,124,96,165,254,194,397,15,98,286,51,461,228,253,79,127,0,0,2
NC_009633,Alkaliphilus metalliredigens QYMF,Bacteria,4929566,4123254,806312,4801,4576,3733,0.816,0,1,275,42,365,85,194,135,65,178,330,239,163,98,95,209,43,384,374,279,64,115,0,0,0
NC_011143,Phenylobacterium zucineum HLK1,Bacteria,4379231,3975937,403294,4264,4159,3733,0.898,0,3,196,30,263,68,175,140,224,187,250,158,215,74,186,206,158,435,396,194,117,58,0,0,0
NC_006582,Bacillus clausii KSM-K16,Bacteria,4303871,3710234,593637,4276,4136,3730,0.902,0,2,190,39,348,96,412,127,102,183,375,145,161,55,97,214,74,465,351,175,43,76,0,0,0
NC_009441,Flavobacterium johnsoniae UW101,Bacteria,6096872,5357093,739779,5219,5099,3729,0.731,0,0,167,30,252,75,266,146,137,172,320,173,301,13,141,253,90,469,348,237,64,73,0,0,2
NC_010571,Opitutus terrae PB90-1,Bacteria,5957605,5214703,742902,4656,4518,3729,0.825,0,2,214,38,256,73,316,137,88,171,266,149,275,94,137,195,82,442,284,294,102,109,1,0,4
NC_015174,Rubinisphaera brasiliensis DSM 5305,Bacteria,6006602,5113171,893431,4816,4715,3729,0.791,2,3,181,38,204,60,183,128,99,151,213,218,236,186,139,243,75,484,356,215,237,77,0,0,1
NC_003902,Xanthomonas campestris pv. campestris str. ATCC 33913,Bacteria,5076188,4307349,768839, , ,3722,#VALUE!,2,1,201,38,253,69,238,133,145,177,241,197,242,132,157,217,79,418,338,248,135,59,1,0,1
NC_017079,Caldilinea aerophila DSM 14535 = NBRC 104270,Bacteria,5144873,4514420,630453,4090,4011,3716,0.926,1,3,234,31,381,80,481,145,116,157,191,147,244,6,135,192,81,539,297,150,45,60,0,0,0
NZ_CP014222,Janthinobacterium sp. B9-8,Bacteria,4726850,4034422,692428,4242,4083,3715,0.910,3,1,168,37,306,81,197,147,97,184,208,150,242,201,153,172,67,405,338,345,167,46,0,0,0
NC_006513,Aromatoleum aromaticum EbN1,Bacteria,4727255,4167270,559985,4483,4313,3713,0.861,1,1,308,53,236,59,129,160,200,166,215,354,235,59,161,156,90,430,322,198,120,60,0,0,0
NC_015572,Methylomonas methanica MC09,Bacteria,5051681,4467057,584624,4615,4503,3713,0.825,2,1,224,62,204,66,136,161,78,175,217,262,266,117,162,230,70,411,348,328,129,64,0,0,0
NC_010546,Cyanothece sp. ATCC 51142,Bacteria,5460377,4703627,756750,5092,4923,3704,0.752,0,2,220,70,201,69,169,167,87,176,148,244,248,52,142,221,96,515,474,253,79,68,0,0,3
NC_020520,Ilumatobacter coccineus YM16-304,Bacteria,4830181,4430364,399817,4287,4208,3696,0.878,1,2,274,43,310,79,215,121,261,166,280,129,180,14,105,207,192,570,282,151,44,62,0,0,8
NZ_CP016307,Vibrio scophthalmi,Bacteria,4926076,4171012,755064,4488,4225,3691,0.874,1,2,207,51,296,87,238,148,82,200,291,223,197,129,141,170,51,425,320,246,123,63,0,0,0
NC_012795,Desulfovibrio magneticus RS-1,Bacteria,5315620,4340389,975231,4441,4329,3691,0.853,1,2,292,47,262,73,131,162,59,166,212,207,231,183,125,161,44,381,268,517,104,61,0,0,2
NZ_CP016447,Acidovorax sp. RAC01,Bacteria,4574859,3951935,622924,4084,3968,3690,0.930,1,4,218,28,339,72,170,132,184,178,282,216,175,77,147,179,108,437,334,282,86,41,0,0,0
NC_010296,Microcystis aeruginosa NIES-843,Bacteria,5842795,4644971,1197824,5497,5118,3685,0.720,0,1,172,78,210,61,125,156,72,178,146,505,206,52,152,168,98,479,549,143,65,68,0,0,1
NZ_CP013187,Pseudoalteromonas phenolica,Bacteria,4868993,4276047,592946,4310,4141,3684,0.890,2,3,182,42,316,68,142,142,107,205,297,150,207,126,153,183,78,399,315,375,95,95,0,0,2
NC_015717,Hyphomicrobium sp. MC1,Bacteria,4757528,4125101,632427,4584,4477,3684,0.823,0,2,289,32,303,64,155,176,145,170,236,141,229,66,169,216,92,440,401,207,85,66,0,0,0
NZ_LN554846,Aliivibrio wodanis,Bacteria,4635126,4029125,606001,4201,3976,3679,0.925,1,1,174,50,284,80,174,143,92,199,264,231,213,164,145,160,45,407,343,304,132,73,0,0,0
NC_009952,Dinoroseobacter shibae DFL 12 = DSM 16493,Bacteria,4417868,3939975,477893,4235,4115,3676,0.893,1,2,274,43,355,77,263,153,148,171,232,185,174,36,152,203,127,482,353,129,73,40,0,0,3
NC_008345,Shewanella frigidimarina NCIMB 400,Bacteria,4845257,4084118,761139,4175,4000,3671,0.918,1,1,273,34,257,74,129,162,129,199,253,219,205,118,172,192,81,394,334,274,111,59,0,0,0
NC_012669,Beutenbergia cavernae DSM 12333,Bacteria,4669183,4285663,383520,4237,4094,3660,0.894,1,2,196,25,280,88,538,132,105,170,421,128,167,5,91,185,71,497,281,140,29,108,0,0,0
NZ_CP013141,Lysobacter antibioticus,Bacteria,5765176,4717974,1047202,4671,4487,3658,0.815,2,1,174,30,251,64,180,137,142,193,299,140,253,53,171,183,118,497,380,191,115,77,6,0,1
NZ_CP016458,Blastomonas sp. RAC04,Bacteria,4403499,3949388,454111,4090,3999,3656,0.914,0,1,268,33,257,52,150,147,289,169,229,140,176,57,126,202,197,499,356,158,96,52,1,0,1
NC_006270,Bacillus licheniformis DSM 13 = ATCC 14580,Bacteria,4222597,3692860,529737,4294,4158,3649,0.878,0,2,186,40,336,88,331,141,111,178,333,141,195,62,117,194,83,439,361,176,52,83,0,0,0
NC_014158,Tsukamurella paurometabola DSM 20162,Bacteria,4479724,4095661,384063,4307,4172,3649,0.875,1,1,217,36,303,86,223,165,235,173,365,234,136,4,107,180,189,473,305,134,31,51,0,0,0
NZ_CP010869,Confluentimicrobium sp. EMB200-NS6,Bacteria,4147426,3720837,426589,4032,3919,3642,0.929,0,2,265,36,390,82,154,139,141,173,236,161,207,39,152,263,144,473,313,118,108,44,0,0,2
NZ_CP007806,Brevibacillus laterosporus LMG 15441,Bacteria,5153859,4296093,857766,4530,4301,3640,0.846,0,1,197,37,338,94,209,160,116,190,345,183,155,78,102,214,124,429,336,189,60,82,0,0,1
NC_014376,Clostridium saccharolyticum WM1,Bacteria,4662871,4099511,563360,4308,4139,3633,0.878,0,1,193,39,307,102,485,112,60,172,357,197,179,68,99,163,42,440,250,229,59,78,0,0,1
NZ_AP014800,Rhodovulum sulfidophilum,Bacteria,4732772,4074623,658149,4340,4155,3630,0.874,0,1,216,39,378,86,192,156,144,178,217,277,174,51,143,216,106,424,354,145,66,67,0,0,0
NC_007643,Rhodospirillum rubrum ATCC 11170,Bacteria,4406557,3891549,515008, , ,3629,#VALUE!,0,2,237,35,363,68,189,162,129,166,248,144,213,125,130,228,79,421,284,286,63,57,0,0,0
NC_015145,Pseudarthrobacter phenanthrenivorans Sphe3,Bacteria,4535320,4029505,505815,4224,4051,3621,0.894,2,1,205,32,353,81,398,144,138,161,331,243,147,4,105,186,100,466,275,146,51,52,0,0,0
NZ_CP013926,Alteromonas stellipolaris,Bacteria,4904192,4309676,594516,4192,4077,3618,0.887,1,2,195,44,271,76,177,140,130,186,250,147,212,126,145,216,78,442,307,296,118,58,0,0,1
NC_015576,Mycobacterium sinense,Bacteria,4643668,4262044,381624,4342,4251,3616,0.851,1,0,258,41,203,73,166,147,412,147,307,142,125,46,99,144,335,537,270,100,27,36,0,0,0
NC_015677,Ramlibacter tataouinensis TTB310,Bacteria,4070193,3726348,343845,3906,3806,3614,0.950,1,3,224,31,333,61,223,145,180,179,242,117,193,58,135,159,131,485,360,210,97,46,0,0,1
NC_008209,Roseobacter denitrificans OCh 114,Bacteria,4331234,3906681,424553,4078,3992,3613,0.905,0,3,221,32,459,77,301,165,144,167,222,154,163,52,129,176,120,457,309,138,65,57,0,0,2
NC_021184,Desulfotomaculum gibsoniae DSM 7213,Bacteria,4855529,3966980,888549,4533,4326,3609,0.834,1,2,356,59,245,69,113,181,151,160,325,250,167,82,101,153,77,443,308,230,73,62,0,0,1
NC_000964,Bacillus subtilis subsp. subtilis str. 168,Bacteria,4215606,3697728,517878, , ,3601,#VALUE!,0,1,185,40,330,91,307,136,118,174,314,142,211,62,110,186,91,464,362,169,49,58,0,0,1
NC_019733,Crinalium epipsammum PCC 9333,Bacteria,5620407,4689915,930492,4980,4720,3598,0.762,1,2,162,58,207,58,170,156,76,174,190,281,210,75,153,147,80,518,408,338,69,63,0,0,2
NC_017910,Shimwellia blattae DSM 4481 = NBRC 105725,Bacteria,4158725,3660458,498267,4015,3809,3594,0.944,1,0,271,37,323,82,268,177,101,188,277,183,215,22,137,237,89,417,326,137,62,44,0,0,0
NC_023065,Magnetospirillum gryphiswaldense MSR-1 v2,Bacteria,4365796,3973440,392356,4140,4000,3594,0.899,0,2,224,43,251,59,119,142,119,173,211,253,235,127,141,212,77,346,290,441,75,52,0,0,2
NC_014963,Terriglobus saanensis SP1PR4,Bacteria,5095226,4573004,522222,4261,4163,3590,0.862,0,0,199,28,250,68,303,130,116,157,290,139,295,59,118,181,92,459,317,173,112,102,0,0,2
NC_008261,Clostridium perfringens ATCC 13124,Bacteria,3256683,2721414,535269,2932,2782,3588,1.290,0,1,183,50,266,77,273,144,80,169,339,195,187,141,92,147,39,447,298,306,53,100,0,0,1
NZ_CP014196,Arthrobacter sp. ATCC 21022,Bacteria,4434904,3964710,470194,4063,3895,3585,0.920,1,1,202,27,376,83,415,146,149,161,328,160,146,29,92,168,113,479,264,135,52,58,0,0,0
NC_014005,Sphingobium japonicum UT26S,Bacteria,4424862,3888057,536805,4150,4048,3580,0.884,0,1,199,40,218,59,162,144,198,163,246,252,226,62,148,195,123,417,353,164,158,50,0,0,2
NC_015057,Granulicella tundricola MP5ACTX9,Bacteria,5503984,4802630,701354,4687,4542,3578,0.788,0,0,178,35,236,69,246,136,126,161,240,206,283,72,124,162,99,453,360,212,115,65,0,0,0
NC_003552,Methanosarcina acetivorans C2A,Archaea,5751492,4306220,1445272,4856,4611,3568,0.774,2,3,277,36,265,71,112,229,43,185,189,281,118,48,133,266,47,579,427,120,56,80,1,0,0
NZ_CP014646,Thauera humireducens,Bacteria,4171754,3763724,408030,3873,3747,3568,0.952,1,4,272,39,271,72,172,163,161,176,216,177,184,113,147,193,94,413,287,262,101,50,0,0,0
NC_018012,Thiocystis violascens DSM 198,Bacteria,5017071,4322715,694356,4465,4261,3563,0.836,2,1,298,54,181,54,122,170,87,167,150,289,203,155,156,201,45,347,330,377,103,67,0,0,4
NZ_CP016177,Vibrio breoganii,Bacteria,4492180,3857210,634970,4168,3997,3558,0.890,1,1,199,46,326,87,227,155,92,195,272,256,219,68,158,169,49,419,314,124,112,69,0,0,0
NC_017731,Providencia stuartii MRSN 2154,Bacteria,4402109,3678659,723450,4193,3858,3558,0.922,2,2,204,36,295,99,215,155,84,178,278,166,199,195,134,189,49,392,314,120,205,46,0,0,1
NC_016078,Pelagibacterium halotolerans B2,Bacteria,3948887,3524831,424056,3850,3752,3556,0.948,0,1,189,33,382,77,310,144,96,166,301,131,153,60,137,242,70,394,386,166,80,37,0,0,1
NZ_CP011803,Clostridium carboxidivorans P7,Bacteria,5752782,4843687,909095,5189,5026,3548,0.706,0,2,155,55,229,97,312,137,79,192,335,187,183,134,108,131,63,438,289,258,44,115,0,0,5
NZ_CP016453,Sphingobium sp. RAC03,Bacteria,4369746,3895919,473827,4128,4004,3548,0.886,1,1,213,37,241,50,186,134,187,164,254,235,197,56,143,223,121,454,337,176,96,40,0,0,2
NC_006840,Vibrio fischeri ES114,Bacteria,4273718,3725460,548258, , ,3542,#VALUE!,1,1,188,45,289,84,190,154,85,192,277,152,234,146,153,172,44,387,294,252,136,65,0,0,1
NC_015458,Pusillimonas sp. T7-7,Bacteria,3924810,3569302,355508,3666,3565,3536,0.992,1,2,261,31,376,61,218,139,180,167,257,157,196,68,139,188,123,385,331,117,101,37,1,0,0
NZ_CP010409,Xanthomonas sacchari,Bacteria,5006106,4240821,765285,4083,3836,3535,0.922,2,2,192,35,232,64,223,121,142,166,244,150,229,122,148,198,93,382,333,252,124,75,3,0,3
NC_013720,Pirellula staleyi DSM 6068,Bacteria,6196199,5259362,936837,4680,4548,3535,0.777,3,2,194,39,228,67,177,139,100,151,200,160,166,171,149,157,77,499,374,203,205,72,0,0,2
NC_009092,Shewanella loihica PV-4,Bacteria,4602594,3936853,665741,4004,3855,3532,0.916,1,1,249,37,283,70,121,166,138,189,251,152,200,120,181,155,76,385,313,269,108,67,0,0,0
NC_011146,Geobacter bemidjiensis Bem,Bacteria,4615150,4020135,595015,4049,3921,3515,0.896,1,2,322,38,200,64,140,158,108,169,163,131,261,168,132,168,52,387,291,384,127,47,0,0,2
NC_015417,Clostridium botulinum BKT015925,Bacteria,3207592,2730924,476668,3021,2865,3511,1.225,0,2,171,47,311,88,347,132,63,182,303,194,166,95,110,187,31,456,271,221,52,81,0,0,1
NC_007794,Novosphingobium aromaticivorans DSM 12444,Bacteria,4233314,3856935,376379,3997,3897,3511,0.901,0,0,245,27,227,60,185,143,262,166,260,155,172,26,139,233,193,454,286,134,104,40,0,0,0
NZ_CP011104,Photorhabdus temperata subsp. thracensis,Bacteria,5147098,4307283,839815,4610,4104,3508,0.855,1,0,165,44,299,80,171,174,93,174,252,310,190,96,114,153,107,371,410,117,118,66,0,0,3
NZ_CP012938,Bacteroides ovatus,Bacteria,6472489,5863891,608598,4895,4749,3502,0.737,0,2,166,38,210,75,396,132,82,160,258,221,308,13,100,302,38,397,229,206,71,98,0,0,0
NC_018632,Alteromonas macleodii ATCC 27126,Bacteria,4653851,4103255,550596,3950,3792,3502,0.924,1,2,198,45,265,72,172,132,126,181,232,129,220,133,138,192,69,415,303,310,109,55,0,0,3
NC_011312,Aliivibrio salmonicida LFI1238,Bacteria,4655660,4025999,629661,4436,4020,3498,0.870,1,1,167,49,267,77,160,149,86,196,228,409,233,105,142,156,44,349,312,207,108,50,1,1,0
NC_002929,Bordetella pertussis Tohama I,Bacteria,4086189,3370524,715665, , ,3497,#VALUE!,1,4,225,28,373,51,148,139,175,167,291,336,187,62,106,208,109,350,311,102,100,24,0,0,0
NZ_CP007757,Halomonas campaniensis,Bacteria,4074048,3623056,450992,3671,3557,3496,0.983,1,3,228,43,344,79,208,175,113,179,263,137,194,89,142,198,83,398,300,186,74,55,4,0,0
NC_005125,Gloeobacter violaceus PCC 7421,Bacteria,4659019,4166337,492682, , ,3492,#VALUE!,0,2,200,42,213,66,158,172,95,172,226,183,254,29,141,199,104,488,428,180,65,75,0,0,0
NC_009659,Janthinobacterium sp. Marseille,Bacteria,4110251,3658836,451415,3834,3757,3490,0.929,1,3,207,41,262,76,115,137,103,176,290,147,232,106,160,246,61,393,327,239,130,38,0,0,0
NC_015559,Marinomonas posidonica IVIA-Po-181,Bacteria,3899940,3458404,441536,3600,3473,3489,1.005,1,2,178,38,383,77,252,163,109,183,291,116,157,97,131,197,87,380,294,253,77,22,0,0,1
NZ_CP009621,Pontibacter korlensis,Bacteria,5462537,4696385,766152,4679,4507,3488,0.774,0,2,212,33,273,70,239,145,119,183,184,219,320,14,123,203,76,468,313,173,52,67,0,0,0
NC_014012,Shewanella violacea DSS12,Bacteria,4962103,4030778,931325,4119,3885,3488,0.898,1,1,214,36,270,73,136,152,121,200,238,141,242,128,169,169,56,376,318,237,147,63,0,0,0
NC_012997,Teredinibacter turnerae T7901,Bacteria,5193164,4492608,700556,4198,4113,3481,0.846,2,1,182,39,249,62,188,159,106,182,214,152,202,136,161,179,105,381,321,269,134,55,1,0,1
NZ_CP014327,Halocynthiibacter arcticus,Bacteria,4376120,3852855,523265,4297,3950,3478,0.881,0,3,211,29,372,67,298,124,124,159,261,267,161,41,138,163,84,389,333,131,78,44,0,0,1
NC_012881,Desulfovibrio salexigens DSM 2638,Bacteria,4289847,3810008,479839,3900,3766,3477,0.923,0,2,262,36,315,71,150,157,67,170,190,105,222,169,124,172,54,391,251,416,100,51,0,0,2
NZ_CP013021,Agarivorans gilvus,Bacteria,4416600,3630852,785748,4225,3901,3472,0.890,1,0,173,36,301,90,222,154,89,174,231,175,212,137,141,158,55,386,297,277,114,49,0,0,0
NZ_CP012937,Bacteroides thetaiotaomicron,Bacteria,6487685,5801056,686629,5022,4857,3471,0.715,0,0,151,40,208,78,363,137,74,163,244,266,338,9,98,283,24,407,223,188,81,96,0,0,0
NC_004663,Bacteroides thetaiotaomicron VPI-5482,Bacteria,6293399,5634978,658421, , ,3467,#VALUE!,0,0,157,39,204,78,369,135,76,164,249,249,354,7,98,277,25,395,210,200,79,102,0,0,0
NZ_CP011454,Gemmatimonas phototrophica,Bacteria,4716552,4298995,417557,3977,3885,3457,0.890,0,3,185,29,288,70,150,110,119,174,199,165,216,112,123,165,91,523,275,270,107,82,0,0,1
NC_018657,Clostridium acidurici 9a,Bacteria,3108248,2568071,540177,2963,2777,3454,1.244,0,1,237,39,315,90,181,170,60,169,360,150,205,107,82,140,50,404,263,279,58,94,0,0,0
NC_018017,Desulfitobacterium dehalogenans ATCC 51507,Bacteria,4321753,3701000,620753,4135,3971,3452,0.869,1,1,340,48,290,73,119,154,93,178,307,148,188,89,94,179,61,408,298,257,60,66,0,0,0
NZ_CP014841,Dyella thiooxydans,Bacteria,4227172,3757304,469868,3762,3686,3451,0.936,1,1,196,31,236,61,173,123,143,181,233,147,254,109,158,146,87,400,331,239,110,90,0,0,1
NC_018742,Emticicia oligotrophica DSM 17448,Bacteria,5220361,4639954,580407,4308,4236,3448,0.814,0,1,199,35,263,73,265,128,125,163,254,162,290,8,125,171,76,473,302,194,53,88,0,0,0
NC_018014,Terriglobus roseus DSM 18391,Bacteria,5227858,4610909,616949,4319,4176,3444,0.825,0,0,167,25,251,73,277,133,111,164,205,134,326,61,121,187,65,446,311,205,106,75,0,0,1
NZ_CP014544,Zhongshania aliphaticivorans,Bacteria,4204359,3741088,463271,3759,3664,3439,0.939,1,1,207,41,208,53,92,147,250,175,231,181,200,92,132,218,137,441,296,165,141,29,0,0,1
NC_010175,Chloroflexus aurantiacus J-10-fl,Bacteria,5258541,4230780,1027761, , ,3438,#VALUE!,1,4,227,40,275,73,248,167,110,173,214,168,233,15,123,168,71,496,246,287,39,58,0,0,2
NC_013791,Bacillus pseudofirmus OF4,Bacteria,4249248,3590673,658575,4211,4064,3431,0.844,0,2,154,41,307,93,180,143,136,186,257,220,137,76,127,201,73,429,354,198,56,61,0,0,0
NC_015974,Sphingobium sp. SYK-6,Bacteria,4348133,3827520,520613,4016,3917,3431,0.876,2,0,218,40,244,56,168,145,129,157,241,177,211,61,144,214,105,415,362,168,118,53,0,0,3
NC_011916,Caulobacter crescentus NA1000,Bacteria,4042929,3669381,373548, , ,3428,#VALUE!,0,2,179,25,242,71,173,134,178,175,254,150,213,85,142,185,113,399,375,192,92,49,0,0,0
NC_019689,Pleurocapsa sp. PCC 7327,Bacteria,4986817,4212569,774248,4581,4266,3424,0.803,1,2,219,51,213,63,158,179,85,161,178,175,257,46,156,190,80,461,352,263,61,73,0,0,0
NC_008700,Shewanella amazonensis SB2B,Bacteria,4306142,3783154,522988,3800,3638,3421,0.940,1,1,224,36,293,67,147,160,119,197,225,137,205,118,177,159,65,349,298,289,100,54,0,0,0
NC_014829,Bacillus cellulosilyticus DSM 2522,Bacteria,4681672,3745826,935846,4271,4124,3418,0.829,0,2,167,44,255,98,284,125,90,184,264,184,181,79,119,176,53,421,350,204,55,83,0,0,0
NC_015178,Acidiphilium multivorum AIU301,Bacteria,4214744,3737736,477008,3853,3721,3418,0.919,0,2,286,38,280,64,284,153,161,162,194,277,209,54,130,145,88,365,273,114,110,29,0,0,0
NC_011726,Cyanothece sp. PCC 8801,Bacteria,4787694,4120451,667243,4515,4323,3415,0.790,2,2,194,51,196,65,156,172,67,163,142,206,228,67,138,194,96,431,468,246,70,60,0,0,1
NC_015844,Zobellia galactanivorans,Bacteria,5521712,4936182,585530,4497,4407,3415,0.775,0,1,171,28,245,68,283,136,125,166,237,126,267,11,123,311,70,470,286,180,48,63,0,0,0
NC_014541,Ferrimonas balearica DSM 9799,Bacteria,4279159,3780798,498361,3875,3714,3408,0.918,1,2,245,38,263,84,117,164,107,193,217,141,224,141,168,197,57,367,307,180,135,60,0,0,0
NC_013061,Pedobacter heparinus DSM 2366,Bacteria,5167383,4786400,380983,4273,4190,3406,0.813,0,1,154,21,230,62,318,130,109,156,297,119,281,14,127,268,62,427,282,231,52,65,0,0,0
NC_016108,Methylomicrobium alcaliphilum 20Z,Bacteria,4796711,3908438,888273,4102,3972,3405,0.857,2,1,193,62,190,59,126,171,86,172,157,215,209,123,162,177,65,382,363,292,142,56,0,0,0
NC_007777,Frankia casuarinae,Bacteria,5433628,4491936,941692,4596,4327,3404,0.787,2,1,219,42,241,88,166,172,177,165,306,285,174,7,123,129,141,443,229,201,43,50,0,0,0
NZ_CP016756,Stenotrophomonas nitritireducens,Bacteria,4541729,3890875,650854,3871,3742,3400,0.909,1,1,187,43,224,61,161,114,124,177,230,145,210,114,150,208,68,400,354,198,146,79,3,0,2
NC_014624,Eubacterium limosum KIST612,Bacteria,4316707,3815295,501412,4089,3966,3396,0.856,0,0,214,28,289,80,216,199,60,157,385,142,192,24,86,168,38,443,294,234,42,105,0,0,0
NC_010001,Lachnoclostridium phytofermentans ISDg,Bacteria,4847594,3983121,864473,4077,3925,3391,0.864,0,1,203,38,258,82,388,98,57,179,321,147,157,88,112,153,40,405,270,228,45,120,0,0,1
NC_008554,Syntrophobacter fumaroxidans MPOB,Bacteria,4990251,4096642,893609,4207,4084,3390,0.830,1,4,380,35,279,66,137,173,91,165,154,145,239,38,153,156,49,444,254,272,90,60,1,0,4
NZ_CP011494,Marinobacter psychrophilus,Bacteria,3998597,3549355,449242,3636,3495,3389,0.970,1,4,226,40,369,63,123,148,160,179,213,129,169,112,149,195,107,392,247,225,96,42,0,0,0
